#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
GA Crisp	74400	14695	29.3	21996	0.6	13	6378	53	65.9	12.8	578	29	71.3	115390
GA Dade	79200	16127	9.7	15154	2.3	12	3613	51	67	10.9	278	23.8	74	25703
GA Dawson	142500	22520	7.6	15999	7.4	9.3	4008	49.8	79.5	18.1	321	25.1	73.5	19138
GA Decatur	69500	15063	22.7	28240	-0.2	13.3	8062	52.4	69.7	12.1	665	28.5	71.4	164393
GA DeKalb	135100	23968	10.8	665865	-0.1	8	163978	51.5	85.1	36.3	14076	24.6	74.8	6182
GA Dodge	54200	14468	17.4	19171	-0.1	13.2	4979	48.8	66.3	11.6	501	26	71.4	155667
GA Dooly	62300	13628	22.1	11525	1.1	11.8	2948	47.7	68.5	9.6	307	25.6	71.5	164693
GA Dougherty	73900	16645	24.8	96065	-0.4	11.7	26576	53.4	73.7	17.8	3754	27.7	73.1	83267
GA Douglas	102700	21172	7.8	92174	4.2	7.5	25435	50.9	81.1	19.2	1503	27.6	74.8	9778
GA Early	58600	14936	25.7	12354	-0.6	15.7	3541	53.4	68.4	12.6	415	28.7	72.6	172757
GA Echols	76000	15727	28.7	3754	-0.7	9.1	1100	46.3	60.5	8.4	56	29.3	71.9	17896
GA Effingham	106600	18873	9.3	37535	5.5	8	11234	50.3	78.9	13.6	601	29.9	74.2	52479
GA Elbert	66600	14535	17.3	20511	0.7	14.9	5302	52	67.2	9.8	648	25.8	73.1	57022
GA Emanuel	50800	13627	27.4	21837	0.1	13.3	6075	51.9	61.4	10.1	912	27.8	71.8	153224
GA Evans	69000	12758	27	10495	2.3	12.6	2884	51.4	65.7	9	191	27.5	72.7	43351
GA Fannin	86200	16269	12.4	19798	4.4	19	4144	51.7	70.9	10.4	396	20.9	75.1	15052
GA Fayette	171500	29464	2.6	91263	4.7	8.9	26554	51.1	92.4	36.2	927	29.1	78.1	18350
GA Floyd	83500	17808	14.4	90565	0.7	13.9	22236	51.6	71.5	15.8	2174	24.6	73.5	83367
GA Forsyth	184600	29114	5.5	98407	12.1	7.1	27466	49.3	85.7	34.6	870	27.9	76	30935
GA Franklin	84600	15767	13.9	20285	2.5	15.3	4854	51.5	67	10.3	342	23.9	74.8	77352
GA Fulton	180700	30003	15.7	816006	0.1	8.5	199290	50.8	84	41.4	15471	24.4	71	27169
GA Gilmer	95700	17147	12.5	23456	3.8	13.1	5703	49.3	66	12.9	310	24.3	75.1	23053
GA Glascock	48600	14185	17.2	2556	1.1	18.2	609	52	66.1	6.5	69	23.8	71.4	20227
GA Glynn	114500	21707	15.1	67568	1	14.4	17108	52.2	82.2	23.8	1160	25.3	74.5	7742
GA Gordon	83600	17586	9.9	44104	3.3	10.6	11498	50.2	65.9	10.6	1137	26.1	73.7	68855
GA Grady	74900	14278	21.3	23659	0.2	13.2	6453	52.5	69.4	10.6	847	27.3	72.4	127467
GA Greene	87100	23389	22.3	14406	3.5	14.4	3614	52.1	70.1	17.6	351	25.1	72.3	52426
GA Gwinnett	142100	25006	5.7	588448	5.6	5.4	165993	49.6	87.3	34.1	7969	28.2	76.8	31360
GA Habersham	99700	17706	12.2	35902	3.5	13.8	8431	48.7	70.9	15.8	569	23.5	76.4	31278
GA Hall	120200	19690	12.4	139277	4.6	9.4	37517	49.1	70.5	18.7	1856	26.9	74.9	51065
GA Hancock	53000	10916	29.4	10076	-0.1	12	2425	46.6	62.2	9.8	502	24.1	71.2	33653
GA Haralson	76500	15823	15.5	25690	2.2	13	6698	51.2	63	9	467	26.1	74.2	30710
GA Harris	122700	21680	8.2	23695	3.6	11.9	6065	50.6	79	21.1	334	25.6	72.4	46940
GA Hart	89900	16714	14.8	22997	0.4	16.5	5402	50.8	71.1	13.5	391	23.5	74.8	57884
GA Heard	72900	15132	13.6	11012	2	11	3164	50.9	66	7.3	317	28.7	74.4	27641
GA Henry	122400	22945	4.9	119341	11.1	7.4	34861	50.7	84.2	19.5	1246	29.2	75	44643
GA Houston	88900	19515	10.2	110765	2.4	9.3	31216	50.8	84.3	19.8	2004	28.2	74.6	87064
GA Irwin	58100	14867	17.8	9931	1	14.1	2860	50.9	67.7	9.9	228	28.8	71	131747
GA Jackson	102900	17808	12	41589	5.8	10.4	11071	49.9	68.1	11.7	811	26.6	73.9	77484
GA Jasper	81000	19249	14.2	11426	4.2	11.8	3109	51	69.7	11.5	187	27.2	74	51948
GA Jeff Davis	61000	13780	19.4	12684	0.6	11.9	3454	50.9	63.3	9.4	377	27.2	72.3	71201
GA Jefferson	56900	13491	23	17266	-1	13.7	4903	52.9	58.5	9.1	1005	28.4	71.4	141922
GA Jenkins	49400	13400	28.4	8575	0.7	13.6	2443	52.1	62	10.8	209	28.5	71.2	93094
GA Johnson	48000	12384	22.6	8560	0.2	15.6	2579	50.7	62.4	7.8	308	30.1	73	96151
GA Jones	91200	19126	10.2	23639	2.4	10.3	6411	51.2	77.9	15	500	27.1	75.2	30901
GA Lamar	79900	16666	11.2	15912	2.2	12.6	3899	52.1	71.3	11.3	405	24.5	73.4	37885
GA Lanier	62200	13690	18.5	7241	-1.4	10.6	1983	49.3	67	8.8	145	27.4	71.9	42890
GA Laurens	73900	16763	18.4	44874	1.1	13.3	12045	51.9	70.3	14.4	1786	26.8	72.2	198424
GA Lee	102900	19897	8.2	24757	3.2	6.3	7589	49.5	81.3	17	545	30.7	73.1	137980
GA Liberty	79800	13855	15	61610	-2.4	3.9	19694	47.3	86.8	14.5	1067	32	74.6	20989
GA Lincoln	82000	15351	15.3	8348	0.9	14.6	2037	51.3	71	10.1	380	24.4	73.1	31176
GA Long	71100	12586	19.5	10304	2.4	5.8	3411	49.5	74.3	5.8	108	33.1	72.7	18875
GA Lowndes	87600	16683	18.3	92115	0.1	9	24134	50.3	77.7	19.7	1887	26.2	73	72158
GA Lumpkin	111800	18062	13.2	21016	4	9.7	5102	50.9	72	17.6	236	24.3	76.3	25228
GA McDuffie	74600	18005	18.4	21231	0.3	11.9	5916	52.8	66.7	11.7	659	27.9	71.9	41157
GA McIntosh	81700	14253	18.7	10847	2.2	11.8	3042	50.5	71.2	11.1	195	28	72.7	4205
GA Macon	54200	11820	25.8	14074	0.4	12.7	3887	50.4	63.2	10	475	27.6	71.5	118762
GA Madison	87300	16998	11.6	25730	1.9	11	6764	50.9	70.8	10.9	421	26.3	74.8	69675
GA Marion	70400	14044	22.4	7144	0.8	10.5	2025	50.8	65.4	8.9	173	28.3	73.1	51645
GA Meriwether	66300	15708	17.8	22534	0.4	13.6	5998	52.2	65.8	10.8	517	26.6	72	68856
GA Miller	57600	15435	21.2	6383	0	17.1	1678	52.9	69	11.3	154	26.3	72.6	116040
GA Mitchell	64500	13042	26.4	23932	0.5	11.7	6540	49.1	65.3	9.1	929	27.3	72.4	221107
GA Monroe	103600	19580	9.8	21757	1.8	10.3	5713	50.2	77.7	17.1	424	26.3	73.1	56780
GA Montgomery	68300	14182	19.9	8270	1.1	10.6	2071	48.8	71.4	13.5	385	25	73	75051
GA Morgan	99700	18823	10.9	15457	4.5	12.5	4106	51.6	74	18.7	274	26.6	76.7	87644
GA Murray	85700	16230	12.7	36506	3.4	8	10204	50	61.1	7.2	607	28	74.9	34802
GA Muscogee	84000	18262	15.7	186291	-1.2	11.7	50002	51.4	78.9	20.3	4756	26.8	72.4	8499
GA Newton	101300	19317	10	62001	9.8	9.9	17157	51.4	74.7	14.5	1025	27.7	73.2	45579
GA Oconee	151600	24153	6.5	26225	3.2	8.5	7931	50.7	86.7	39.8	200	30.2	76.7	51254
GA Oglethorpe	87500	17089	13.2	12635	2.6	12.4	3258	51.4	72.1	15.6	192	25.8	72.3	62583
GA Paulding	106100	19974	5.5	81678	9.9	5.9	25079	50	80.8	15.2	877	30.7	75.1	18369
GA Peach	78300	16031	20.2	23668	2.2	9.8	6163	51.6	73.4	16.8	646	26	72.2	50967
GA Pickens	113100	19774	9.2	22983	7.8	13.2	5413	51.1	70.2	15.6	284	23.6	73.5	15925
GA Pierce	64300	14230	18.4	15636	0.4	12.2	4169	50.8	69.8	10.1	388	26.7	72.6	100463
GA Pike	103000	17661	9.6	13688	4.1	10.9	3779	50	75.3	14	267	27.6	73.4	47971
GA Polk	73900	15617	15.5	38127	1.9	13.2	9937	50.2	63.3	8	947	26.1	72.2	50429
GA Pulaski	75400	16435	16.4	9588	0.1	13.3	2216	57.4	73.4	12.9	225	23.1	72.2	92384
GA Putnam	102300	20161	14.6	18812	1.5	14.1	4368	50.8	75.5	14.4	326	23.2	74	31290
